Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S000566    ,Sant Andreu,el Bon Pastor,Santander,Diumenge,2023,1,January,29,20,Afternoon,Lack of driving attention,434014.78,4587640.93,2.209062326,41.435780974,2023-01-29 20:00:00
2023S004145    ,Sant Andreu,el Bon Pastor,Litoral (Llobregat),Diumenge,2023,7,July,9,3,Night,Lack of driving attention,433903.25,4588186.57,2.207667763,41.440686214,2023-07-09 03:00:00
2023S007188    ,Sant Andreu,Sant Andreu,Concepción Arenal,Diumenge,2023,12,December,3,1,Night,Lack of driving attention,431935.56,4587277.7,2.184218326,41.432335845,2023-12-03 01:00:00
2023S005441    ,Sant Andreu,Sant Andreu,Fabra i Puig,Thursday,2023,9,September,14,11,Morning,Lack of driving attention,431870.03,4587039.84,2.183460905,41.430187961,2023-09-14 11:00:00
2023S002008    ,Sant Andreu,Sant Andreu,Meridiana,Diumenge,2023,4,April,9,9,Morning,Gir indegut o sense precaució,431875.79,4587268.06,2.183504101,41.43224395,2023-04-09 09:00:00
2023S001131    ,Sant Andreu,Sant Andreu,Fabra i Puig,Saturday,2023,2,February,25,12,Morning,Lack of driving attention,432322.38,4587041.38,2.188874167,41.430240096,2023-02-25 12:00:00
2023S005631    ,Sant Andreu,Sant Andreu,Gran de Sant Andreu,Diumenge,2023,9,September,24,12,Morning,No determinada,432369.56,4587299.81,2.189409856,41.432571667,2023-09-24 12:00:00
2023S005094    ,Sant Andreu,la Trinitat Vella,B-20 (Llobregat),Saturday,2023,8,August,26,20,Afternoon,Not respecting distances,432696.87,4588930.56,2.193145279,41.447286803,2023-08-26 20:00:00
2023S001976    ,Sant Andreu,Baró de Viver,Tiana,Thursday,2023,4,April,6,15,Afternoon,Gir indegut o sense precaució,433292.47,4589076.7,2.200258777,41.448652784,2023-04-06 15:00:00
2023S006452    ,Sant Andreu,Baró de Viver,Sense Nom (Tucuman-Junoy),Dimarts,2023,10,October,31,15,Afternoon,No determinada,433206.6,4588676.26,2.199275156,41.445039008,2023-10-31 15:00:00
2023S001101    ,Sant Andreu,Baró de Viver,Pilar Miró,Friday,2023,2,February,24,6,Morning,Canvi de carril sense precaució,433412.7,4589022.73,2.201703979,41.448176683,2023-02-24 06:00:00
2023S001491    ,Sant Andreu,el Bon Pastor,Ciutat d'Asunción,Dimarts,2023,3,March,14,21,Afternoon,Lack of driving attention,433293.16,4588028.53,2.200382853,41.439212312,2023-03-14 21:00:00
2023S000271    ,Sant Andreu,el Bon Pastor,Potosí,Saturday,2023,1,January,14,17,Afternoon,Lack of driving attention,433499.34,4588462.36,2.202802853,41.443136796,2023-01-14 17:00:00
2023S003812    ,Sant Andreu,la Trinitat Vella,B-20 (Llobregat),Friday,2023,6,June,23,17,Afternoon,Not respecting distances,433072.09,4589234.17,2.197603194,41.450052707,2023-06-23 17:00:00
2023S003724    ,Sant Andreu,la Trinitat Vella,B-20 (Llobregat),Dimecres,2023,6,June,21,14,Afternoon,Canvi de carril sense precaució,432838.99,4589349.79,2.19479988,41.451074575,2023-06-21 14:00:00
2023S005635    ,Sant Andreu,la Trinitat Vella,B-20 (Llobregat),Diumenge,2023,9,September,24,20,Afternoon,Not respecting distances,433072.09,4589234.17,2.197603194,41.450052707,2023-09-24 20:00:00
2023S001674    ,Sant Andreu,Baró de Viver,B-10 (Llobregat),Thursday,2023,3,March,23,13,Morning,Canvi de carril sense precaució,433363.25,4582786.07,2.201799588,41.39200074,2023-03-23 13:00:00
2023S000425    ,Sant Andreu,Baró de Viver,B-10 (Llobregat),Diumenge,2023,1,January,22,11,Morning,Not respecting distances,433072.06,4589234.31,2.197602819,41.450053966,2023-01-22 11:00:00
2023S005612    ,Sant Andreu,Baró de Viver,B-10 (Llobregat),Friday,2023,9,September,22,23,Night,Not respecting distances,433360.65,4589095.4,2.201072881,41.448826875,2023-09-22 23:00:00
2023S001951    ,Sant Andreu,el Bon Pastor,B-10 (Besòs),Dimecres,2023,4,April,5,13,Morning,Not respecting distances,433421.61,4589026.1,2.201810267,41.448207775,2023-04-05 13:00:00
2023S007300    ,Sant Andreu,Baró de Viver,Pilar Miró,Saturday,2023,12,December,9,17,Afternoon,Not respecting distances,433240.54,4589136.67,2.199630501,41.449188594,2023-12-09 17:00:00
2023S006171    ,Sant Andreu,el Bon Pastor,Ferran Junoy,Thursday,2023,10,October,19,0,Night,Lack of driving attention,432996.94,4588404.96,2.196795611,41.442578016,2023-10-19 00:00:00
2023S001540    ,Sant Andreu,Baró de Viver,Santa Coloma,Friday,2023,3,March,17,12,Morning,Not respecting distances,432968.51,4589200.56,2.196366967,41.449741345,2023-03-17 12:00:00
2023S003886    ,Sant Andreu,el Bon Pastor,Monterrey,Dimecres,2023,6,June,28,15,Afternoon,No determinada,433767.83,4588493.8,2.206013173,41.443442174,2023-06-28 15:00:00
2023S002345    ,Sant Andreu,el Bon Pastor,Litoral (Besòs),Diumenge,2023,4,April,23,15,Afternoon,Avançament defectuós/improcedent,433624.59,4588704.98,2.204275393,41.445332369,2023-04-23 15:00:00
2023S000781    ,Nou Barris,Vilapicina i la Torre Llobeta,Arnau d'Oms,Dimecres,2023,2,February,8,17,Afternoon,No determinada,431368.74,4586941.82,2.177472935,41.429262427,2023-02-08 17:00:00
