Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Day_Type,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model,Vehicle_Brand,Vehicle_Color,License_Description,License_Age,Coordenada_UTM_X,Coordenada_UTM_Y,Latitud,Longitud
2020S000597    ,Ciutat Vella,el Raval,Portal de Santa Madrona,Saturday,Working Day,2020,1,January,25,20,Afternoon,Not the pedestrian’s fault,Car,5008,PEUGEOT,White,B,18,431198.46,4581093.18,41.37657098,2.1761003
2020S000597    ,Ciutat Vella,el Raval,Portal de Santa Madrona,Saturday,Working Day,2020,1,January,25,20,Afternoon,Not the pedestrian’s fault,Moped,NOVA 3000,EMCO,Green,A,3,431198.46,4581093.18,41.37657098,2.1761003
2020S000598    ,Sant Martí,el Poblenou,Roc Boronat,Saturday,Working Day,2020,1,January,25,21,Afternoon,Not the pedestrian’s fault,Moped,LIBERTY 50 4T DELIVERY,PIAGGIO,Black,B,12,433333.84,4583387.03,41.397411002,2.20138163
2020S000598    ,Sant Martí,el Poblenou,Roc Boronat,Saturday,Working Day,2020,1,January,25,21,Afternoon,Not the pedestrian’s fault,Car,CORSA-E,OPEL,Red,B,24,433333.84,4583387.03,41.397411002,2.20138163
2020S000599    ,Les Corts,les Corts,Entença,Sunday,Working Day,2020,1,January,26,8,Morning,Not the pedestrian’s fault,Car,LAGUNA GRAND TOUR,RENAULT,Black,B,36,428191.83,4582401.8,41.388094421,2.13999362
2020S000599    ,Les Corts,les Corts,Entença,Sunday,Working Day,2020,1,January,26,8,Morning,Not the pedestrian’s fault,Car,HR-V,HONDA,Red,B,9,428191.83,4582401.8,41.388094421,2.13999362
2020S000600    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes,Sunday,Working Day,2020,1,January,26,8,Morning,Not the pedestrian’s fault,Car,YARIS,TOYOTA,Blue,B,17,429124.26,4583586.72,41.398849318,2.15100629
2020S000600    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes,Sunday,Working Day,2020,1,January,26,8,Morning,Not the pedestrian’s fault,Motorcycle,MILER 125,KYMCO,Brown,B,19,429124.26,4583586.72,41.398849318,2.15100629
2020S000601    ,Nou Barris,Verdun,Favència,Sunday,Working Day,2020,1,January,26,10,Morning,Not the pedestrian’s fault,Car,A6 3.0,AUDI,Gray,B,6,431139.44,4588613.12,41.444295575,2.1745383
2020S000602    ,Sant Martí,el Camp de l'Arpa del Clot,Mallorca,Sunday,Working Day,2020,1,January,26,11,Morning,Not the pedestrian’s fault,Moped,NOVA,EMCO,Green,B,21,431714.84,4584629.79,41.408468237,2.18187594
2020S000603    ,Eixample,Sant Antoni,Muntaner,Sunday,Working Day,2020,1,January,26,17,Afternoon,Not the pedestrian’s fault,Motorcycle,PEOPLE 125,KYMCO,Gray,B,7,430087.35,4581927.6,41.383990525,2.16271793
2020S000603    ,Eixample,Sant Antoni,Muntaner,Sunday,Working Day,2020,1,January,26,17,Afternoon,Not the pedestrian’s fault,Taxi,CADDY,VOLKSWAGEN,Black/Yellow,B,20,430087.35,4581927.6,41.383990525,2.16271793
2020S000604    ,Sant Andreu,Sant Andreu,Fabra i Puig,Sunday,Working Day,2020,1,January,26,18,Afternoon,Not the pedestrian’s fault,Car,FIAT PANDA,FIAT,Gray,B,22,432327.87,4587013.37,41.429988282,2.188943
2020S000604    ,Sant Andreu,Sant Andreu,Fabra i Puig,Sunday,Working Day,2020,1,January,26,18,Afternoon,Not the pedestrian’s fault,Moped,BT 49,BTM,Black,B,6,432327.87,4587013.37,41.429988282,2.188943
2020S000605    ,Sants-Montjuïc,el Poble-sec,Tres Pins,Sunday,Working Day,2020,1,January,26,18,Afternoon,Not the pedestrian’s fault,Car,FABIA,SKODA,White,B,25,429658.77,4579918.57,41.365858435,2.15782588
2020S000606    ,Horta-Guinardó,la Vall d'Hebron,Dalt (Llobregat),Sunday,Working Day,2020,1,January,26,18,Afternoon,Not the pedestrian’s fault,Moped,SH 50,HONDA,Unknown,AM,1,428530.94,4586736.88,41.427168996,2.14353698
2020S000606    ,Horta-Guinardó,la Vall d'Hebron,Dalt (Llobregat),Sunday,Working Day,2020,1,January,26,18,Afternoon,Not the pedestrian’s fault,Car,CIVIC 5DR,HONDA,Unknown,B,35,428530.94,4586736.88,41.427168996,2.14353698
2020S000607    ,Horta-Guinardó,el Guinardó,Guinardó,Sunday,Working Day,2020,1,January,26,20,Afternoon,Not the pedestrian’s fault,Car,ARONA,SEAT,White,B,42,431281.04,4585798.72,41.418959416,2.17655339
2020S000607    ,Horta-Guinardó,el Guinardó,Guinardó,Sunday,Working Day,2020,1,January,26,20,Afternoon,Not the pedestrian’s fault,Motorcycle,UH200A,SUZUKI,Gray,A,43,431281.04,4585798.72,41.418959416,2.17655339
2020S000607    ,Horta-Guinardó,el Guinardó,Guinardó,Sunday,Working Day,2020,1,January,26,20,Afternoon,Not the pedestrian’s fault,Car,GOLF 2.0,VOLKSWAGEN,Red,B,4,431281.04,4585798.72,41.418959416,2.17655339
2020S000608    ,Gràcia,la Salut,Dalt,Sunday,Working Day,2020,1,January,26,19,Afternoon,Not the pedestrian’s fault,Motorcycle,HD 125 EVO,S.Y.M,White,Unknown,7,429554.72,4584862.73,41.410379729,2.15600665
2020S000608    ,Gràcia,la Salut,Dalt,Sunday,Working Day,2020,1,January,26,19,Afternoon,Not the pedestrian’s fault,Car,STONIC,KIA,Unknown,B,13,429554.72,4584862.73,41.410379729,2.15600665
2020S000608    ,Gràcia,la Salut,Dalt,Sunday,Working Day,2020,1,January,26,19,Afternoon,Not the pedestrian’s fault,Car,PRIUS ECO,TOYOTA,Black/Yellow,B,34,429554.72,4584862.73,41.410379729,2.15600665
2020S000610    ,Eixample,la Nova Esquerra de l'Eixample,Entença,Sunday,Working Day,2020,1,January,26,20,Afternoon,Not the pedestrian’s fault,Motorcycle,BEVERLY 125,PIAGGIO,Unknown,B,4,428800.22,4581712.72,41.38194223,2.14735069
2020S000610    ,Eixample,la Nova Esquerra de l'Eixample,Entença,Sunday,Working Day,2020,1,January,26,20,Afternoon,Not the pedestrian’s fault,Car,MEGANE,RENAULT,Unknown,B,31,428800.22,4581712.72,41.38194223,2.14735069
2020S000611    ,Sant Martí,Sant Martí de Provençals,Fluvià,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Moped,SH 50,HONDA,Gray,Llicència,22,432789.07,4585510.6,41.416492034,2.19462946
2020S000611    ,Sant Martí,Sant Martí de Provençals,Fluvià,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Car,FR-V,HONDA,Green,B,3,432789.07,4585510.6,41.416492034,2.19462946
2020S000612    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Motorcycle,SCOOPY 125,HONDA,White,B,14,429643.91,4581668.57,41.381618846,2.15744501
2020S000612    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Car,520D,BMW,Gray,B,51,429643.91,4581668.57,41.381618846,2.15744501
2020S000613    ,Sants-Montjuïc,la Bordeta,Constitució,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Motorcycle,CBF 500,HONDA,Black,A,25,427477.78,4580202.03,41.368217825,2.13171732
2020S000613    ,Sants-Montjuïc,la Bordeta,Constitució,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Motorcycle,FZ6-N,YAMAHA,Black,A2,2,427477.78,4580202.03,41.368217825,2.13171732
2020S000614    ,Sant Martí,el Clot,Escultors Claperós,Monday,Working Day,2020,1,January,27,7,Morning,Not the pedestrian’s fault,Car,FOCUS,FORD,Gray,B,Unknown,432319.91,4584450.35,41.406903277,2.1891347
2020S000615    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Lope de Vega,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Motorcycle,C EVOLUTION,BMW,White,A,9,433929.71,4583770.11,41.400910523,2.20846724
2020S000615    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Lope de Vega,Monday,Working Day,2020,1,January,27,8,Morning,Not the pedestrian’s fault,Motorcycle,C EVOLUTION,BMW,White,A1,8,433929.71,4583770.11,41.400910523,2.20846724
2020S000616    ,Eixample,la Sagrada Família,València,Monday,Working Day,2020,1,January,27,10,Morning,Not the pedestrian’s fault,Car,CEE'D,KIA,Maroon,B,41,431003.64,4583748.25,41.400467722,2.17346816
2020S000616    ,Eixample,la Sagrada Família,València,Monday,Working Day,2020,1,January,27,10,Morning,Not the pedestrian’s fault,Personal mobility vehicle with motor,M-365,XIAOMI,Black,Unknown,Unknown,431003.64,4583748.25,41.400467722,2.17346816
2020S000617    ,Gràcia,la Vila de Gràcia,Augusta,Monday,Working Day,2020,1,January,27,10,Morning,Not the pedestrian’s fault,Car,X1 XDRIVE25I,BMW,Blue,B,15,429498.77,4583293.29,41.396239439,2.15552018
2020S000618    ,Sants-Montjuïc,Sants,Sant Antoni,Monday,Working Day,2020,1,January,27,13,Morning,Others,Van,TRAFIC 19DCI,RENAULT,White,B,12,427939.09,4581200.89,41.377255655,2.13711388
2020S000619    ,Les Corts,la Maternitat i Sant Ramon,Madrid,Monday,Working Day,2020,1,January,27,12,Morning,Not the pedestrian’s fault,Bus,NL 273 F/GNC/CITTOUR,MAN,Red,D,29,427137.66,4581368.37,41.378691876,2.12751065
